rte,dir,rte_desc,public_rte,frequent,type,remove_stops,time_savings_sec,total_num_stops,mean_num_stops,max_num_stops,min_num_stops,time_savings_min
75,1,Cesar Chavez/Lombard,75,True,BUS,69,3105,142,6.173913043478261,15,3,51.8
75,0,Cesar Chavez/Lombard,75,True,BUS,66,2970,139,5.791666666666667,12,4,49.5
15,0,Belmont/NW 23rd,15,True,BUS,55,2475,116,5.8,12,2,41.2
72,1,Killingsworth/82nd Ave,72,True,BUS,54,2430,110,6.111111111111111,12,2,40.5
72,0,Killingsworth/82nd Ave,72,True,BUS,51,2295,105,6.176470588235294,12,3,38.2
15,1,Belmont/NW 23rd,15,True,BUS,48,2160,98,6.125,10,2,36.0
17,1,Holgate/Broadway,17,True,BUS,47,2115,97,5.105263157894737,10,2,35.2
19,1,Woodstock/Glisan,19,False,BUS,38,1710,83,5.928571428571429,9,3,28.5
51,0,Vista/Sunset Blvd,51,True,BUS,38,1710,82,9.11111111111111,18,4,28.5
10,0,Harold St,10,False,BUS,39,1755,81,5.0625,8,4,29.2
32,0,Oatfield,32,False,BUS,38,1710,79,6.076923076923077,10,4,28.5
20,0,Burnside/Stark,20,True,BUS,36,1620,77,4.277777777777778,8,3,27.0
70,0,12th/NE 33rd Ave,70,False,BUS,34,1530,76,4.470588235294118,9,2,25.5
19,0,Woodstock/Glisan,19,False,BUS,36,1620,76,5.428571428571429,8,3,27.0
17,0,Holgate/Broadway,17,True,BUS,38,1710,76,5.428571428571429,8,4,28.5
45,0,Garden Home,45,False,BUS,32,1440,71,7.1,15,3,24.0
51,1,Vista/Sunset Blvd,51,False,BUS,34,1530,70,7.777777777777778,23,4,25.5
4,0,Fessenden,4,True,BUS,32,1440,69,5.3076923076923075,10,3,24.0
32,1,Oatfield,32,False,BUS,33,1485,69,5.75,9,4,24.8
20,1,Burnside/Stark,20,True,BUS,33,1485,68,5.666666666666667,10,3,24.8
10,1,Harold St,10,False,BUS,31,1395,67,4.785714285714286,8,3,23.2
34,1,Linwood/River Rd,34,False,BUS,28,1260,64,4.923076923076923,12,3,21.0
55,1,Hamilton,55,False,BUS,31,1395,64,8.0,18,4,23.2
43,1,Taylors Ferry/Marquam Hill,43,False,BUS,30,1350,63,5.25,12,2,22.5
4,1,Fessenden,4,True,BUS,28,1260,62,5.636363636363637,12,3,21.0
55,0,Hamilton,55,True,BUS,30,1350,61,10.166666666666666,23,4,22.5
78,1,Denney/Kerr Pkwy,78,False,BUS,28,1260,60,4.615384615384615,8,3,21.0
8,1,Jackson Park/NE 15th,8,True,BUS,29,1305,60,5.454545454545454,11,3,21.8
34,0,Linwood/River Rd,34,False,BUS,27,1215,59,4.916666666666667,12,3,20.2
8,0,Jackson Park/NE 15th,8,True,BUS,29,1305,59,4.916666666666667,10,2,21.8
9,0,Powell Blvd,9,True,BUS,25,1125,55,6.111111111111111,9,3,18.8
45,1,Garden Home,45,False,BUS,26,1170,54,7.714285714285714,16,4,19.5
35,0,Macadam/Greeley,35,False,BUS,24,1080,54,4.153846153846154,7,3,18.0
77,0,Broadway/Halsey,77,False,BUS,24,1080,53,4.818181818181818,9,2,18.0
71,0,60th Ave,71,False,BUS,25,1125,52,5.2,8,4,18.8
70,1,12th/NE 33rd Ave,70,False,BUS,23,1035,52,5.777777777777778,10,3,17.2
43,0,Taylors Ferry/Marquam Hill,43,False,BUS,24,1080,51,6.375,12,4,18.0
6,1,Martin Luther King Jr Blvd,6,True,BUS,22,990,50,5.0,11,2,16.5
73,0,122nd Ave,73,True,BUS,22,990,49,4.9,7,4,16.5
1,0,Vermont,1,False,BUS,21,945,49,3.769230769230769,8,2,15.8
76,1,Hall/Greenburg,76,True,BUS,22,990,47,3.9166666666666665,6,2,16.5
56,1,Scholls Ferry/Marquam Hill,56,False,BUS,22,990,47,4.7,9,2,16.5
22,1,Parkrose,22,False,BUS,20,900,46,4.6,9,2,15.0
77,1,Broadway/Halsey,77,False,BUS,22,990,45,4.5,8,2,16.5
12,1,Barbur/Sandy Blvd,12,True,BUS,21,945,45,5.0,6,3,15.8
1,1,Vermont,1,False,BUS,19,855,44,4.4,11,2,14.2
56,0,Scholls Ferry/Marquam Hill,56,False,BUS,21,945,44,5.5,8,4,15.8
6,0,Martin Luther King Jr Blvd,6,True,BUS,21,945,44,5.5,12,3,15.8
33,0,McLoughlin/King Rd,33,True,BUS,21,945,43,4.777777777777778,10,4,15.8
76,0,Hall/Greenburg,76,True,BUS,19,855,41,4.1,8,3,14.2
88,1,Hart/198th,88,False,BUS,18,810,41,5.125,9,3,13.5
38,1,Boones Ferry Rd,38,False,BUS,18,810,41,4.555555555555555,6,3,13.5
12,0,Barbur/Sandy Blvd,12,True,BUS,20,900,40,5.0,8,4,15.0
35,1,Macadam/Greeley,35,False,BUS,18,810,40,4.444444444444445,7,2,13.5
33,1,McLoughlin/King Rd,33,True,BUS,19,855,38,4.75,8,4,14.2
9,1,Powell Blvd,9,True,BUS,17,765,35,5.0,7,4,12.8
24,1,Fremont/NW 18th,24,False,BUS,16,720,34,4.857142857142857,6,2,12.0
73,1,122nd Ave,73,True,BUS,15,675,33,4.714285714285714,7,3,11.2
71,1,60th Ave,71,False,BUS,15,675,32,5.333333333333333,9,4,11.2
52,1,Farmington/185th,52,False,BUS,15,675,32,4.571428571428571,9,2,11.2
29,1,Lake/Webster Rd,29,False,BUS,14,630,31,4.428571428571429,7,3,10.5
39,1,Arnold Creek/Hillsdale,39,False,BUS,13,585,30,4.285714285714286,9,2,9.8
44,1,Capitol Hwy/Mocks Crest,44,False,BUS,14,630,30,3.75,6,2,10.5
62,1,Murray Blvd,62,False,BUS,13,585,30,4.285714285714286,9,3,9.8
24,0,Fremont/NW 18th,24,False,BUS,14,630,29,5.8,8,3,10.5
29,0,Lake/Webster Rd,29,False,BUS,14,630,29,4.833333333333333,6,4,10.5
38,0,Boones Ferry Rd,38,False,BUS,13,585,28,4.666666666666667,6,3,9.8
88,0,Hart/198th,88,False,BUS,13,585,28,4.666666666666667,9,3,9.8
30,1,Estacada,30,False,BUS,12,540,27,3.857142857142857,5,3,9.0
82,1,South Gresham,82,False,BUS,13,585,27,4.5,7,4,9.8
44,0,Capitol Hwy/Mocks Crest,44,False,BUS,12,540,27,3.857142857142857,5,2,9.0
78,0,Denney/Kerr Pkwy,78,False,BUS,13,585,27,4.5,8,2,9.8
14,0,Hawthorne/Foster,14,True,BUS,12,540,26,5.2,8,3,9.0
52,0,Farmington/185th,52,False,BUS,12,540,26,4.333333333333333,8,2,9.0
22,0,Parkrose,22,False,BUS,12,540,26,4.333333333333333,7,3,9.0
31,1,Webster Rd,31,False,BUS,11,495,25,5.0,9,3,8.2
87,1,Airport Way/181st,87,True,BUS,11,495,25,4.166666666666667,6,2,8.2
39,0,Arnold Creek/Hillsdale,39,False,BUS,12,540,25,6.25,11,4,9.0
48,1,Cornell,48,True,BUS,11,495,24,4.8,7,4,8.2
82,0,South Gresham,82,False,BUS,11,495,24,4.8,11,2,8.2
84,0,Powell Valley/Orient Dr,84,False,BUS,10,450,23,3.8333333333333335,9,2,7.5
57,1,TV Hwy/Forest Grove,57,True,BUS,10,450,22,4.4,9,2,7.5
47,1,Main/Baseline,47,False,BUS,10,450,22,5.5,9,4,7.5
23,1,San Rafael,23,False,BUS,10,450,21,4.2,5,4,7.5
25,1,Glisan/Troutdale Rd,25,False,BUS,10,450,21,4.2,6,3,7.5
94,1,Tigard/Sherwood,94,False,BUS,9,405,21,5.25,9,2,6.8
94,0,Tigard/Sherwood,94,False,BUS,9,405,20,5.0,9,2,6.8
